outfit_id,image_path,weather,gender,skin_tone,body_type,occasion,hair_type,style,description
outfit_17,outfit_images/outfit_17.jpg,sunny,female,#FFDFC4,slim,party,curly,bohemian,"White lace maxi dress with gold accessories and strappy sandals"
outfit_18,outfit_images/outfit_18.jpg,rainy,male,#F0D5BE,athletic,casual,short,streetwear,"Waterproof bomber jacket with joggers and high-top sneakers"
outfit_19,outfit_images/outfit_19.jpg,cold,female,#D1A17B,plus-size,formal,straight,classic,"Emerald green wrap dress with black tights and knee-high boots"
outfit_20,outfit_images/outfit_20.jpg,sunny,male,#B97C6D,average,party,wavy,streetwear,"Silk button-up shirt with tailored black pants and loafers"
outfit_21,outfit_images/outfit_21.jpg,rainy,female,#FFDFC4,athletic,casual,curly,bohemian,"Rainbow tie-dye hoodie with black leggings and rain boots"
outfit_22,outfit_images/outfit_22.jpg,cold,male,#F0D5BE,slim,formal,short,classic,"Charcoal wool coat with turtleneck and tailored trousers"
outfit_23,outfit_images/outfit_23.jpg,sunny,female,#D1A17B,average,party,straight,streetwear,"Sequined mini dress with platform heels and statement earrings"
outfit_24,outfit_images/outfit_24.jpg,rainy,male,#B97C6D,plus-size,casual,wavy,classic,"Waxed cotton jacket with corduroy pants and leather boots"
outfit_25,outfit_images/outfit_25.jpg,cold,female,#FFDFC4,slim,casual,curly,bohemian,"Knit poncho with skinny jeans and ankle boots"
outfit_26,outfit_images/outfit_26.jpg,sunny,male,#F0D5BE,athletic,formal,short,streetwear,"Linen blazer with white tee, chinos, and white sneakers"
outfit_27,outfit_images/outfit_27.jpg,rainy,female,#D1A17B,plus-size,party,straight,classic,"Velvet jumpsuit with statement necklace and heels"
outfit_28,outfit_images/outfit_28.jpg,cold,male,#B97C6D,average,casual,wavy,bohemian,"Chunky knit sweater with relaxed jeans and suede boots"
outfit_29,outfit_images/outfit_29.jpg,sunny,female,#FFDFC4,athletic,formal,curly,classic,"Tailored pantsuit with silk blouse and pointed pumps"
outfit_30,outfit_images/outfit_30.jpg,rainy,male,#F0D5BE,slim,party,short,streetwear,"Leather jacket with graphic tee and distressed jeans"
outfit_31,outfit_images/outfit_31.jpg,cold,female,#D1A17B,average,casual,straight,bohemian,"Oversized cardigan with midi skirt and ankle boots"
outfit_32,outfit_images/outfit_32.jpg,sunny,male,#B97C6D,plus-size,formal,wavy,classic,"Navy suit with light blue shirt and brown brogues"
outfit_33,outfit_images/outfit_33.jpg,rainy,female,#FFDFC4,slim,party,curly,streetwear,"PVC raincoat with mini dress and combat boots"
outfit_34,outfit_images/outfit_34.jpg,cold,male,#F0D5BE,athletic,casual,short,bohemian,"Wool poncho with jeans and hiking boots"
outfit_35,outfit_images/outfit_35.jpg,sunny,female,#D1A17B,plus-size,formal,straight,classic,"A-line midi dress with blazer and kitten heels"
outfit_36,outfit_images/outfit_36.jpg,rainy,male,#B97C6D,average,party,wavy,streetwear,"Denim jacket with printed shirt and black jeans"
outfit_37,outfit_images/outfit_37.jpg,cold,female,#FFDFC4,slim,casual,curly,bohemian,"Faux fur coat with sweater dress and knee-high boots"
outfit_38,outfit_images/outfit_38.jpg,sunny,male,#F0D5BE,athletic,formal,short,classic,"Light grey suit with pink shirt and brown loafers"
outfit_39,outfit_images/outfit_39.jpg,rainy,female,#D1A17B,average,party,straight,streetwear,"Metallic jacket with black dress and ankle boots"
outfit_40,outfit_images/outfit_40.jpg,cold,male,#B97C6D,plus-size,casual,wavy,classic,"Cable knit sweater with corduroy pants and boots"
outfit_41,outfit_images/outfit_41.jpg,sunny,female,#FFDFC4,slim,formal,curly,classic,"Pastel pink suit with white blouse and nude pumps"
outfit_42,outfit_images/outfit_42.jpg,rainy,male,#F0D5BE,athletic,party,short,streetwear,"Graphic hoodie with cargo pants and sneakers"
outfit_43,outfit_images/outfit_43.jpg,cold,female,#D1A17B,plus-size,casual,straight,bohemian,"Maxi cardigan with leggings and UGG boots"
outfit_44,outfit_images/outfit_44.jpg,sunny,male,#B97C6D,average,formal,wavy,classic,"Tan suit with blue shirt and brown oxfords"
outfit_45,outfit_images/outfit_45.jpg,rainy,female,#FFDFC4,slim,party,curly,streetwear,"Leather pants with crop top and platform boots"
outfit_46,outfit_images/outfit_46.jpg,cold,male,#F0D5BE,athletic,casual,short,bohemian,"Wool beanie with flannel shirt and jeans"
outfit_47,outfit_images/outfit_47.jpg,sunny,female,#D1A17B,average,formal,straight,classic,"Pencil skirt with blouse and blazer"
outfit_48,outfit_images/outfit_48.jpg,rainy,male,#B97C6D,plus-size,party,wavy,streetwear,"Bomber jacket with printed tee and jeans"
outfit_49,outfit_images/outfit_49.jpg,cold,female,#FFDFC4,slim,casual,curly,bohemian,"Knit sweater with maxi skirt and boots"
outfit_50,outfit_images/outfit_50.jpg,sunny,male,#F0D5BE,athletic,formal,short,classic,"Navy blazer with white shirt and khakis"
outfit_51,outfit_images/outfit_51.jpg,rainy,female,#D1A17B,plus-size,party,straight,streetwear,"Sequined top with black pants and heels"
outfit_52,outfit_images/outfit_52.jpg,cold,male,#B97C6D,average,casual,wavy,classic,"Wool coat with sweater and jeans"
outfit_53,outfit_images/outfit_53.jpg,sunny,female,#FFDFC4,slim,formal,curly,classic,"White dress with blazer and pumps"
outfit_54,outfit_images/outfit_54.jpg,rainy,male,#F0D5BE,athletic,party,short,streetwear,"Denim jacket with graphic tee and sneakers"
outfit_55,outfit_images/outfit_55.jpg,cold,female,#D1A17B,plus-size,casual,straight,bohemian,"Oversized sweater with leggings and boots"
outfit_56,outfit_images/outfit_56.jpg,sunny,male,#B97C6D,average,formal,wavy,classic,"Grey suit with blue shirt and brown shoes"
outfit_57,outfit_images/outfit_57.jpg,rainy,female,#FFDFC4,slim,party,curly,streetwear,"Leather jacket with dress and boots"
outfit_58,outfit_images/outfit_58.jpg,cold,male,#F0D5BE,athletic,casual,short,bohemian,"Flannel shirt with jeans and boots"
outfit_59,outfit_images/outfit_59.jpg,sunny,female,#D1A17B,plus-size,formal,straight,classic,"Blazer dress with heels"
outfit_60,outfit_images/outfit_60.jpg,rainy,male,#B97C6D,average,party,wavy,streetwear,"Printed shirt with black pants and sneakers"
